"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"361","cell361",2741,56,370.008333333161,11770036,0.461291726408027,17811432
"362","cell362",3224,66,300.008333333225,11341803,0.799317789821921,15275173
"363","cell363",2855,59,40.0083333333317,8769144,0.515236771157229,3822639
"364","cell364",3232,66,380.008333333152,11816650,0.701868448089274,18306219
"365","cell365",1906,39,350.008333333179,11968205,0.753898351936195,20624141
"366","cell366",4445,91,260.008333333261,11332127,0.911864230762784,15248918
"367","cell367",3420,70,300.008333333225,10951822,0.623044060949258,13790003
"368","cell368",4193,86,190.008333333325,10051075,1.56628527726093,7766717
"369","cell369",2491,51,320.008333333207,11911728,0.780971543792954,19726431
"370","cell370",1800,37,270.008333333252,9765687,1.95225421182949,6362562
"371","cell371",4054,83,270.008333333252,11022909,0.57956752681951,14207655
"372","cell372",2005,41,360.00833333317,11944097,0.462293196679987,20147946
"373","cell373",437,9,360.00833333317,11796520,0.814601906144223,17992416
"374","cell374",1794,37,210.008333333307,8990298,1.06079081910263,4046751
"375","cell375",4628,95,130.000000000046,9092236,1.27204850651706,4559708
"376","cell376",2007,41,380.008333333152,11847666,0.682347954048466,19288758
"377","cell377",1402,29,210.008333333307,10743653,0.539095469831521,13258089
"378","cell378",1545,32,170.00000000001,9924255,1.88983304567155,7192422
"379","cell379",1015,21,260.008333333261,10816432,1.65165939413846,13409723
"380","cell380",182,4,260.008333333261,10475379,0.757536315304755,11343420
"381","cell381",675,14,290.008333333234,9780097,0.759296821463135,6380780
"382","cell382",3558,73,210.008333333307,9730840,0.707796658228583,5987771
"383","cell383",3569,73,320.008333333207,11755591,0.283392092755052,17341596
"384","cell384",920,19,290.008333333234,10677664,0.976462379536515,13109155
"385","cell385",2874,59,230.008333333288,10143760,1.81952582141542,8764280
"386","cell386",4258,87,350.008333333179,11378585,1.30037556723489,15437048
"387","cell387",8,1,0,8290586,0.912771316327848,2834479
"388","cell388",1111,23,240.008333333279,11437326,0.482246144746536,15652221
"389","cell389",1519,31,408,11552974,0.753807950546293,15986360
"390","cell390",917,19,260.008333333261,9492810,0.467713226616614,5561581
"391","cell391",1338,28,60.0083333333306,8936272,1.28043699112255,3983811
"392","cell392",420,9,190.008333333325,10384100,1.17774479558335,10571691
"393","cell393",157,4,10.0000000000001,8311386,1.30672785369048,2849049
"394","cell394",3062,63,150.000000000028,9851418,1.26486446858548,6719956
"395","cell395",919,19,280.008333333243,10400390,1.75106260976652,10645027
"396","cell396",2398,49,370.008333333161,11869235,1.43327884327327,19330351
"397","cell397",3757,77,240.008333333279,10757420,0.96941686161,13299396
"398","cell398",4197,86,230.008333333288,10850112,1.51492301686472,13617527
"399","cell399",1354,28,220.008333333298,10582932,0.812930035715774,12513145
"400","cell400",1106,23,190.008333333325,10291458,0.45941411806878,9959738
"401","cell401",826,17,330.008333333198,11253854,0.75106738342603,14794367
"402","cell402",922,19,310.008333333216,11231321,0.312075424546074,14737742
"403","cell403",1749,36,250.00833333327,11136733,0.911397634697902,14660336
"404","cell404",672,14,260.008333333261,9322308,0.467372747953695,5477171
"405","cell405",3417,70,270.008333333252,10074944,1.49171936628412,7904991
"406","cell406",578,12,300.008333333225,11046370,0.987638574558118,14526554
"407","cell407",3847,79,160.000000000019,10334704,0.570479515790137,10094727
"408","cell408",916,19,250.00833333327,9110107,0.543506089364958,4568947
"409","cell409",4295,88,230.008333333288,10316184,1.75340033581785,10033066
"410","cell410",1596,33,190.008333333325,11259102,0.629772835155891,14833914
"411","cell411",4539,93,220.008333333298,10145862,0.54352528371003,8895948
"412","cell412",920,19,290.008333333234,10677664,1.92499255475799,13111136
"413","cell413",658,14,120.000000000042,9021943,1.1628424244135,4108967
"414","cell414",2885,59,340.008333333188,11982961,1.34727070345683,20848415
"415","cell415",2475,51,160.000000000019,9361465,0.371516027045894,5496461
"416","cell416",3588,74,20.0083333333328,8480823,1.84087649535835,3427845
"417","cell417",686,14,408,11822686,0.533046474947866,18477142
"418","cell418",2251,46,370.008333333161,11904628,1.23731300333948,19658202
"419","cell419",4297,88,250.00833333327,10421332,1.29903973008291,10939834
"420","cell420",3418,70,280.008333333243,10381652,0.381012146003052,10554864
"421","cell421",926,19,350.008333333179,11680608,0.690466918286909,16316331
"422","cell422",3246,67,30.0083333333323,8575595,0.924408199417377,3756860
"423","cell423",2042,42,240.008333333279,10976193,1.29264130439636,13824829
"424","cell424",3551,73,140.000000000037,9179320,0.816965720069278,4798373
"425","cell425",2136,44,200.008333333316,9168500,0.432657013959734,4793320
"426","cell426",2777,57,240.008333333279,11892877,1.74579672426271,19548240
"427","cell427",420,9,190.008333333325,10384100,0.635960035863783,10572762
"428","cell428",2241,46,270.008333333252,11655160,0.571083015022382,16232539
